Sta     Lat       Lon       de(m)     dn(m)     du(m)     sde(m)    sdn(m)    sdu(m)
====================================================================================
adn2   36.9834   35.3233  -0.05498  -0.01359  -0.02150   0.00940   0.00970   0.01360
agrd   39.7176   43.0329   0.00127  -0.01080   0.03275   0.00636   0.00793   0.01154
akle   36.7100   38.9482   0.05020  -0.00199   0.00082   0.00872   0.00902   0.01480
aksr   38.3704   33.9982  -0.00749  -0.00279  -0.00822   0.00695   0.00859   0.01308
ante   37.0650   37.3736   0.22650   0.29417   0.08439   0.00981   0.01105   0.01400
apk1   39.0410   38.4933  -0.02095  -0.06649   0.02581   0.00796   0.00683   0.01492
bask   38.0434   44.0173   0.00548  -0.00034  -0.00544   0.00888   0.00767   0.02199
bin1   38.8972   40.5027  -0.00704   0.00110   0.03981   0.00573   0.00877   0.01266
bog1   39.1933   35.2471  -0.02074   0.01076   0.01870   0.00633   0.00686   0.01016
catk   38.0073   43.0607   0.01132  -0.01628   0.08481   0.01258   0.01011   0.03369
div2   39.3706   38.1177  -0.01729  -0.06516   0.01511   0.00791   0.00890   0.01521
dluc   39.6551   44.7975   0.00111   0.00262  -0.01555   0.00573   0.00740   0.01425
ekz1   38.0582   37.1873  -0.22256  -0.19795  -0.01745   0.00733   0.00777   0.01444
elaz   38.6447   39.2565  -0.01785  -0.03211  -0.00992   0.00614   0.00730   0.01044
ergn   38.2696   39.7582   0.03271   0.02852   0.08648   0.01474   0.01342   0.04399
erz2   39.7079   39.6970   0.00629  -0.02164   0.01458   0.00634   0.00751   0.01445
erzr   39.9056   41.2555   0.00361  -0.00454   0.01718   0.00662   0.01013   0.01196
feek   37.8151   35.9123  -0.07446  -0.01874  -0.00811   0.00907   0.01126   0.01704
gem1   39.1859   36.0721  -0.01051  -0.00918  -0.04061   0.00665   0.00696   0.01196
guru   38.7174   37.3079   0.00631  -0.19405   0.20141   0.00643   0.00781   0.01333
hak1   37.5762   43.7340   0.00754   0.00212  -0.00909   0.00871   0.00904   0.01868
halp   37.4451   34.1834  -0.01868  -0.00167  -0.01115   0.00639   0.00670   0.01126
hini   39.3688   41.6958   0.00195  -0.00722   0.01823   0.00724   0.00705   0.01200
hors   40.0416   42.1673  -0.00927   0.00976  -0.02622   0.00678   0.00899   0.01173
igr1   39.9264   44.0538  -0.00250   0.00563  -0.02314   0.00875   0.01029   0.03257
kay1   38.7137   35.5031  -0.01966  -0.00541  -0.00073   0.00709   0.00767   0.01239
kls1   36.7126   37.1237   0.18060   0.19196   0.09208   0.01363   0.01395   0.03362
kis1   39.1434   34.1631  -0.01391   0.00182  -0.01077   0.01057   0.01263   0.02619
mers   36.5664   34.2559  -0.03415  -0.01154  -0.04387   0.00609   0.00656   0.01308
mly1   38.3420   38.3186  -0.14466  -0.35124   0.04107   0.00620   0.00932   0.01330
mlz1   39.1459   42.5406   0.00895  -0.01201   0.02878   0.00835   0.00778   0.01322
mrsi   36.7810   34.6026  -0.03684  -0.00356  -0.02306   0.00715   0.00789   0.01179
mur1   38.9919   43.7626  -0.00164   0.00553   0.01247   0.00879   0.00904   0.02142
mus1   38.7435   41.4992   0.00337  -0.00479   0.01694   0.00666   0.00745   0.01378
nev1   38.6315   34.7108  -0.01001  -0.00126   0.00462   0.00850   0.00756   0.01312
nigd   37.9588   34.6794  -0.02748  -0.00793  -0.01201   0.00683   0.00739   0.01120
nsyb   37.0787   41.2161   0.02339  -0.00356   0.02648   0.00818   0.00959   0.02125
oniy   37.1022   36.2539  -0.19037  -0.26132   0.05352   0.00642   0.00668   0.01152
ozal   38.6573   43.9887   0.00633  -0.00056   0.00205   0.00764   0.00836   0.01225
poza   37.4221   34.8717  -0.02632   0.00671  -0.02461   0.00933   0.01197   0.02086
sem1   37.3059   44.5728   0.01118  -0.00927   0.05668   0.00919   0.00805   0.01962
silf   36.3819   33.9364  -0.01993   0.00183  -0.01951   0.00570   0.00713   0.01115
siv1   37.7529   39.3217   0.07720  -0.01287  -0.01948   0.00605   0.00638   0.01292
srt1   37.9381   41.9238   0.00642   0.00268  -0.01682   0.00673   0.00776   0.01589
svs1   39.7476   37.0123  -0.03936  -0.02647   0.05222   0.00810   0.00749   0.02087
tnc1   39.0753   39.5349  -0.00485  -0.02313   0.01561   0.00691   0.00731   0.01075
tuf1   38.2605   36.2084  -0.06384  -0.02019  -0.02863   0.00672   0.01036   0.01551
tva2   38.5148   42.2772   0.00222  -0.00328   0.00728   0.00699   0.00725   0.01102
van2   38.5001   43.3794   0.01152   0.00514   0.00861   0.00963   0.00893   0.03161
vir2   37.2255   39.7487   0.04738  -0.00955  -0.01126   0.00506   0.00571   0.01085
yoz1   39.8314   34.8447  -0.00292  -0.00111  -0.00265   0.00657   0.00743   0.01073
